agari_id,kyoku_id,hanchan_id,room_class_label,agari_epoch_s,winner_rel_seat,winner_name,from_rel_seat,from_name,is_tsumo,winning_tile_136,winning_tile_37_text,deal_in_discard_id,deal_in_round_discard_index,estimated_danger_percent,danger_estimate_source,agari_state_snapshot_json
20260410213820_0300_agari_476,20260410213820_0300,20260410213820,特上卓,1775825321,2,ちむどんどん？,2,ちむどんどん？,1,57,6p,,,,,
20260410213820_0401_agari_067,20260410213820_0401,20260410213820,特上卓,1775825766,3,大樹氷２５％,3,大樹氷２５％,1,87,4s,,,,,
20260410213820_0500_agari_159,20260410213820_0500,20260410213820,特上卓,1775825910,2,ちむどんどん？,1,月下論,0,102,8s,20260410213820_0500_031,31,12.9,synthetic_tile,
20260410213820_0501_agari_215,20260410213820_0501,20260410213820,特上卓,1775825981,2,ちむどんどん？,2,ちむどんどん？,1,47,3p,,,,,
20260410221526_0000_agari_026,20260410221526_0000,20260410221526,特上卓,1775826949,1,Elseal,0,s6u,0,93,6s,20260410221526_0000_018,18,14.5,self_pre_discard_hand,
20260410221526_0100_agari_088,20260410221526_0100,20260410221526,特上卓,1775827023,0,s6u,1,Elseal,0,0,1m,20260410221526_0100_020,20,1.0,synthetic_tile,
20260410221526_0200_agari_236,20260410221526_0200,20260410221526,特上卓,1775827221,0,s6u,3,LAVA,0,39,1p,20260410221526_0200_053,53,8.0,synthetic_tile,
20260410221526_0300_agari_296,20260410221526_0300,20260410221526,特上卓,1775827290,0,s6u,2,GoodYear,0,47,3p,20260410221526_0300_019,19,15.7,synthetic_tile,
20260410221526_0500_agari_740,20260410221526_0500,20260410221526,特上卓,1775827873,2,GoodYear,3,LAVA,0,22,6m,20260410221526_0500_070,70,55.5,synthetic_tile,
20260410221526_0600_agari_841,20260410221526_0600,20260410221526,特上卓,1775828005,3,LAVA,3,LAVA,1,62,7p,,,,,
20260410221526_0700_agari_975,20260410221526_0700,20260410221526,特上卓,1775828161,0,s6u,1,Elseal,0,16,r5m,20260410221526_0700_048,48,4.0,synthetic_tile,
20260410224058_0100_agari_150,20260410224058_0100,20260410224058,特上卓,1775828628,3,裏雀士,3,裏雀士,1,15,4m,,,,,
20260410224058_0200_agari_244,20260410224058_0200,20260410224058,特上卓,1775828747,3,裏雀士,1,激弱博徒,0,8,3m,20260410224058_0200_032,32,13.3,synthetic_tile,
20260410224058_0201_agari_050,20260410224058_0201,20260410224058,特上卓,1775828849,3,裏雀士,3,裏雀士,1,82,3s,,,,,
20260410224058_0202_agari_074,20260410224058_0202,20260410224058,特上卓,1775828881,1,激弱博徒,1,激弱博徒,1,92,6s,,,,,
20260410224058_0300_agari_180,20260410224058_0300,20260410224058,特上卓,1775829000,2,土鍋,1,激弱博徒,0,31,8m,20260410224058_0300_037,37,12.9,synthetic_tile,
20260410224058_0400_agari_302,20260410224058_0400,20260410224058,特上卓,1775829150,1,激弱博徒,1,激弱博徒,1,45,3p,,,,,
20260410224058_0601_agari_280,20260410224058_0601,20260410224058,特上卓,1775829643,3,裏雀士,1,激弱博徒,0,106,9s,20260410224058_0601_030,30,11.7,synthetic_tile,
20260410224058_0602_agari_324,20260410224058_0602,20260410224058,特上卓,1775829695,0,s6u,2,土鍋,0,107,9s,20260410224058_0602_014,14,8.5,synthetic_tile,
20260410224058_0700_agari_442,20260410224058_0700,20260410224058,特上卓,1775829851,3,裏雀士,2,土鍋,0,26,7m,20260410224058_0700_040,40,11.0,synthetic_tile,
20260410230657_0001_agari_114,20260410230657_0001,20260410230657,特上卓,1775830167,1,BaoZL,3,R09,0,99,7s,20260410230657_0001_037,37,22.4,synthetic_tile,
20260410230657_0100_agari_287,20260410230657_0100,20260410230657,特上卓,1775830379,1,BaoZL,1,BaoZL,1,89,5s,,,,,
20260410230657_0101_agari_441,20260410230657_0101,20260410230657,特上卓,1775830577,2,テクムセ,0,s6u,0,105,9s,20260410230657_0101_055,55,20.1,self_pre_discard_hand,
20260410230657_0300_agari_615,20260410230657_0300,20260410230657,特上卓,1775830845,3,R09,3,R09,1,22,6m,,,,,
20260410230657_0301_agari_701,20260410230657_0301,20260410230657,特上卓,1775830946,1,BaoZL,1,BaoZL,1,16,r5m,,,,,
20260410230657_0400_agari_822,20260410230657_0400,20260410230657,特上卓,1775831108,1,BaoZL,3,R09,0,83,3s,20260410230657_0400_043,43,12.7,synthetic_tile,
20260410230657_0500_agari_918,20260410230657_0500,20260410230657,特上卓,1775831239,3,R09,3,R09,1,14,4m,,,,,
20260410230657_0701_agari_1211,20260410230657_0701,20260410230657,特上卓,1775831690,0,s6u,1,BaoZL,0,60,7p,20260410230657_0701_064,64,29.7,synthetic_tile,
20260410233544_0000_agari_087,20260410233544_0000,20260410233544,特上卓,1775831829,3,馬老C,1,皆蔵トマル,0,24,7m,20260410233544_0000_034,34,14.0,synthetic_tile,
20260410233544_0001_agari_171,20260410233544_0001,20260410233544,特上卓,1775831939,3,馬老C,1,皆蔵トマル,0,36,1p,20260410233544_0001_029,29,12.6,synthetic_tile,
20260410233544_0002_agari_283,20260410233544_0002,20260410233544,特上卓,1775832058,0,s6u,1,皆蔵トマル,0,93,6s,20260410233544_0002_038,38,18.4,synthetic_tile,
20260410233544_0100_agari_359,20260410233544_0100,20260410233544,特上卓,1775832151,3,馬老C,0,s6u,0,23,6m,20260410233544_0100_025,25,21.6,self_pre_discard_hand,
20260410233544_0300_agari_551,20260410233544_0300,20260410233544,特上卓,1775832574,3,馬老C,3,馬老C,1,48,4p,,,,,
20260410233544_0400_agari_675,20260410233544_0400,20260410233544,特上卓,1775832721,3,馬老C,0,s6u,0,130,6z,20260410233544_0400_044,44,2.0,self_pre_discard_hand,
20260410233544_0401_agari_818,20260410233544_0401,20260410233544,特上卓,1775832893,2,きんたまに咲く花,0,s6u,0,83,3s,20260410233544_0401_049,49,17.4,self_pre_discard_hand,
20260410233544_0501_agari_1130,20260410233544_0501,20260410233544,特上卓,1775833254,2,きんたまに咲く花,2,きんたまに咲く花,1,28,8m,,,,,
20260411000058_0600_agari_1212,20260411000058_0600,20260411000058,特上卓,1775833345,3,馬老C,3,馬老C,1,16,r5m,,,,,
20260411000058_0700_agari_1335,20260411000058_0700,20260411000058,特上卓,1775833493,0,s6u,1,皆蔵トマル,0,25,7m,20260411000058_0700_042,42,0.0,synthetic_tile,
20260411000727_0000_agari_097,20260411000727_0000,20260411000727,特上卓,1775833746,0,s6u,3,stark,0,74,1s,20260411000727_0000_036,36,11.3,synthetic_tile,
20260411000727_0100_agari_161,20260411000727_0100,20260411000727,特上卓,1775833823,2,あらぽん,3,stark,0,131,6z,20260411000727_0100_021,21,2.0,synthetic_tile,
20260411001119_0000_agari_174,20260411001119_0000,20260411001119,特上卓,1775834046,1,ごきげんよう！！,1,ごきげんよう！！,1,12,4m,,,,,
20260411001119_0100_agari_260,20260411001119_0100,20260411001119,特上卓,1775834160,3,なかざわーるどう,3,なかざわーるどう,1,29,8m,,,,,
20260411001119_0101_agari_390,20260411001119_0101,20260411001119,特上卓,1775834343,1,ごきげんよう！！,1,ごきげんよう！！,1,27,7m,,,,,
20260411001119_0200_agari_478,20260411001119_0200,20260411001119,特上卓,1775834455,0,s6u,0,s6u,1,132,7z,,,,,
20260411001119_0201_agari_593,20260411001119_0201,20260411001119,特上卓,1775834598,2,革と皮,2,革と皮,1,63,7p,,,,,
20260411001119_0403_agari_1117,20260411001119_0403,20260411001119,特上卓,1775835242,1,ごきげんよう！！,0,s6u,0,104,9s,20260411001119_0403_042,42,9.8,self_pre_discard_hand,
20260411001119_0500_agari_1192,20260411001119_0500,20260411001119,特上卓,1775835318,1,ごきげんよう！！,1,ごきげんよう！！,1,50,4p,,,,,
20260411001119_0600_agari_1300,20260411001119_0600,20260411001119,特上卓,1775835441,3,なかざわーるどう,3,なかざわーるどう,1,50,4p,,,,,
20260411001119_0700_agari_1465,20260411001119_0700,20260411001119,特上卓,1775835647,3,なかざわーるどう,2,革と皮,0,67,8p,20260411001119_0700_059,59,11.8,synthetic_tile,
20260411022843_0000_agari_203,20260411022843_0000,20260411022843,一般卓,1775842383,2,幸村シャーク,2,幸村シャーク,1,16,r5m,,,,,
20260411022843_0100_agari_357,20260411022843_0100,20260411022843,一般卓,1775842625,3,びびあん,1,Lucy3939,0,15,4m,20260411022843_0100_059,59,15.0,synthetic_tile,
20260411024357_0001_agari_089,20260411024357_0001,20260411024357,一般卓,1775843502,1,トェェェェェェイ,0,パシフィック,0,103,8s,20260411024357_0001_041,41,13.1,self_pre_discard_hand,
20260411024357_0100_agari_053,20260411024357_0100,20260411024357,一般卓,1775843759,1,トェェェェェェイ,1,トェェェェェェイ,1,59,6p,,,,,
20260411030956_0100_agari_010,20260411030956_0100,20260411030956,一般卓,1775844978,3,Tauca,3,Tauca,1,117,3z,,,,,
20260411035334_0000_agari_155,20260411035334_0000,20260411035334,一般卓,1775847388,3,ヴァッシュ,3,ヴァッシュ,1,25,7m,,,,,
20260411175658_0100_agari_305,20260411175658_0100,20260411175658,一般卓,1775898102,3,superint,0,パシフィック,0,58,6p,20260411175658_0100_051,51,17.3,self_pre_discard_hand,
20260411175658_0200_agari_424,20260411175658_0200,20260411175658,一般卓,1775898221,1,なぽり2026,0,パシフィック,0,15,4m,20260411175658_0200_042,42,31.3,self_pre_discard_hand,
20260411200235_0001_agari_256,20260411200235_0001,20260411200235,特上卓,1775905628,2,ゆうびんやさん,1,鳥万,0,70,9p,20260411200235_0001_042,42,4.9,synthetic_tile,
20260411200235_0100_agari_386,20260411200235_0100,20260411200235,特上卓,1775905811,1,鳥万,1,鳥万,1,104,9s,,,,,
20260411200235_0300_agari_743,20260411200235_0300,20260411200235,特上卓,1775906271,2,ゆうびんやさん,0,s6u,0,43,2p,20260411200235_0300_066,66,37.3,self_pre_discard_hand,
20260411200235_0301_agari_815,20260411200235_0301,20260411200235,特上卓,1775906361,0,s6u,2,ゆうびんやさん,0,6,2m,20260411200235_0301_024,24,11.8,synthetic_tile,
20260411203143_0000_agari_173,20260411203143_0000,20260411203143,特上卓,1775907308,0,s6u,1,オカルト研究会,0,6,2m,20260411203143_0000_056,56,16.2,synthetic_tile,
20260411203143_0100_agari_296,20260411203143_0100,20260411203143,特上卓,1775907477,2,天江衣,2,天江衣,1,58,6p,,,,,
20260411203143_0101_agari_389,20260411203143_0101,20260411203143,特上卓,1775907599,3,風林火川,0,s6u,0,89,5s,20260411203143_0101_033,33,19.3,self_pre_discard_hand,
20260411203143_0300_agari_103,20260411203143_0300,20260411203143,特上卓,1775908131,2,天江衣,2,天江衣,1,12,4m,,,,,
20260411203143_0400_agari_282,20260411203143_0400,20260411203143,特上卓,1775908375,2,天江衣,0,s6u,0,34,9m,20260411203143_0400_063,63,11.7,self_pre_discard_hand,
20260411203143_0500_agari_466,20260411203143_0500,20260411203143,特上卓,1775908623,2,天江衣,0,s6u,0,40,2p,20260411203143_0500_066,66,39.6,self_pre_discard_hand,
20260411203143_0501_agari_579,20260411203143_0501,20260411203143,特上卓,1775908780,2,天江衣,0,s6u,0,84,4s,20260411203143_0501_039,39,21.8,self_pre_discard_hand,
20260411203143_0700_agari_069,20260411203143_0700,20260411203143,特上卓,1775909307,3,風林火川,3,風林火川,1,100,8s,,,,,
20260412052922_0000_agari_117,20260412052922_0000,20260412052922,特上卓,1775939448,1,こいきき,1,こいきき,1,16,r5m,,,,,
20260412052922_0001_agari_290,20260412052922_0001,20260412052922,特上卓,1775939685,1,こいきき,0,s6u,0,3,1m,20260412052922_0001_062,62,15.5,self_pre_discard_hand,
20260412052922_0201_agari_789,20260412052922_0201,20260412052922,特上卓,1775940290,0,s6u,0,s6u,1,28,8m,,,,,
20260412052922_0300_agari_851,20260412052922_0300,20260412052922,特上卓,1775940348,0,s6u,2,Fsight,0,103,8s,20260412052922_0300_021,21,14.0,synthetic_tile,
20260412052922_0301_agari_946,20260412052922_0301,20260412052922,特上卓,1775940425,1,こいきき,1,こいきき,1,106,9s,,,,,
20260412052922_0400_agari_1031,20260412052922_0400,20260412052922,特上卓,1775940518,1,こいきき,2,Fsight,0,30,8m,20260412052922_0400_029,29,11.9,synthetic_tile,
20260412055023_0101_agari_121,20260412055023_0101,20260412055023,特上卓,1775941020,2,欧陽,2,欧陽,1,43,2p,,,,,
20260412055023_0200_agari_253,20260412055023_0200,20260412055023,特上卓,1775941165,0,s6u,2,欧陽,0,84,4s,20260412055023_0200_048,48,4.0,synthetic_tile,
20260412055023_0300_agari_419,20260412055023_0300,20260412055023,特上卓,1775941382,1,せんざんこうさん,1,せんざんこうさん,1,94,6s,,,,,
20260412055023_0301_agari_594,20260412055023_0301,20260412055023,特上卓,1775941608,1,せんざんこうさん,3,シゲルペペ,0,23,6m,20260412055023_0301_063,63,43.6,synthetic_tile,
20260412055023_0302_agari_771,20260412055023_0302,20260412055023,特上卓,1775941841,2,欧陽,2,欧陽,1,84,4s,,,,,
20260413021631_0101_agari_026,20260413021631_0101,20260413021631,一般卓,1776014644,3,ひょうもんたこら,0,パシフィック,0,4,2m,20260413021631_0101_032,32,8.6,self_pre_discard_hand,
20260413023111_0000_agari_123,20260413023111_0000,20260413023111,上級卓,1776015217,1,sabakan,0,パシフィック,0,33,9m,20260413023111_0000_043,43,11.9,self_pre_discard_hand,
20260413023111_0002_agari_012,20260413023111_0002,20260413023111,上級卓,1776015543,1,sabakan,0,パシフィック,0,89,5s,20260413023111_0002_014,14,16.0,self_pre_discard_hand,
20260413023111_0104_agari_054,20260413023111_0104,20260413023111,上級卓,1776015830,1,sabakan,1,sabakan,1,10,3m,,,,,
20260413030233_0000_agari_171,20260413030233_0000,20260413030233,上級卓,1776017125,2,ぱぱん2,0,パシフィック,0,88,r5s,20260413030233_0000_058,58,30.6,self_pre_discard_hand,
20260413030233_0202_agari_047,20260413030233_0202,20260413030233,上級卓,1776017655,2,ぱぱん2,0,パシフィック,0,8,3m,20260413030233_0202_056,56,11.6,self_pre_discard_hand,
20260413033302_0000_agari_023,20260413033302_0000,20260413033302,一般卓,1776019025,1,喉頭形成術Ⅴ型,3,NoName,0,99,7s,20260413033302_0000_058,58,7.9,synthetic_tile,
20260414000100_0000_agari_125,20260414000100_0000,20260414000100,一般卓,1776092606,1,NoName,2,わはは,0,29,8m,20260414000100_0000_038,38,2.0,synthetic_tile,
20260414000100_0101_agari_046,20260414000100_0101,20260414000100,一般卓,1776092994,3,ジャーナリスト魂,1,NoName,0,95,6s,20260414000100_0101_058,58,8.7,synthetic_tile,
20260414001450_0201_agari_060,20260414001450_0201,20260414001450,上級卓,1776093872,0,パシフィック,1,M＆I,0,34,9m,20260414001450_0201_026,26,8.9,synthetic_tile,
20260414001450_0300_agari_146,20260414001450_0300,20260414001450,上級卓,1776093995,1,M＆I,3,NoName,0,2,1m,20260414001450_0300_028,28,11.2,synthetic_tile,
20260414002828_0000_agari_069,20260414002828_0000,20260414002828,上級卓,1776094295,3,Millio,3,Millio,1,97,7s,,,,,
20260414005815_0000_agari_145,20260414005815_0000,20260414005815,上級卓,1776096107,1,Ds.,1,Ds.,1,17,5m,,,,,
20260414005815_0100_agari_251,20260414005815_0100,20260414005815,上級卓,1776096279,3,matsu_r,3,matsu_r,1,63,7p,,,,,
20260414005815_0200_agari_425,20260414005815_0200,20260414005815,上級卓,1776096489,2,yhm,0,パシフィック,0,88,r5s,20260414005815_0200_062,62,44.7,self_pre_discard_hand,
20260414005815_0201_agari_525,20260414005815_0201,20260414005815,上級卓,1776096645,3,matsu_r,2,yhm,0,19,5m,20260414005815_0201_033,33,81.4,synthetic_tile,
20260414005815_0400_agari_787,20260414005815_0400,20260414005815,上級卓,1776097062,2,yhm,3,matsu_r,0,59,6p,20260414005815_0400_023,23,21.4,synthetic_tile,
20260414005815_0501_agari_1110,20260414005815_0501,20260414005815,上級卓,1776097483,2,yhm,0,パシフィック,0,12,4m,20260414005815_0501_043,43,30.0,self_pre_discard_hand,
20260414013924_0000_agari_089,20260414013924_0000,20260414013924,一般卓,1776098468,3,ryu1110,3,ryu1110,1,23,6m,,,,,
20260414013924_0100_agari_185,20260414013924_0100,20260414013924,一般卓,1776098559,1,unryu,2,ひろぼうA1,0,69,9p,20260414013924_0100_035,35,16.7,synthetic_tile,
20260414143934_0100_agari_229,20260414143934_0100,20260414143934,一般卓,1776145573,3,きんぎょすくい,3,きんぎょすくい,1,44,3p,,,,,
20260414143934_0101_agari_307,20260414143934_0101,20260414143934,一般卓,1776145682,3,きんぎょすくい,0,パシフィック,0,115,2z,20260414143934_0101_025,25,2.0,self_pre_discard_hand,
20260414171043_0000_agari_186,20260414171043_0000,20260414171043,一般卓,1776154438,1,そのまま,1,そのまま,1,95,6s,,,,,
20260414171043_0100_agari_307,20260414171043_0100,20260414171043,一般卓,1776154583,2,小助,3,NoName,0,23,6m,20260414171043_0100_044,44,11.8,synthetic_tile,
20260414171043_0200_agari_341,20260414171043_0200,20260414171043,一般卓,1776154628,2,小助,2,小助,1,100,8s,,,,,
20260414171043_0300_agari_493,20260414171043_0300,20260414171043,一般卓,1776154810,0,パシフィック,0,パシフィック,1,64,8p,,,,,
20260414172200_0000_agari_123,20260414172200_0000,20260414172200,一般卓,1776155095,1,変身忍者,2,ミセスｋ,0,25,7m,20260414172200_0000_043,43,9.5,synthetic_tile,
20260414172200_0301_agari_024,20260414172200_0301,20260414172200,一般卓,1776156002,2,ミセスｋ,2,ミセスｋ,1,83,3s,,,,,
20260414174031_0000_agari_135,20260414174031_0000,20260414174031,一般卓,1776156237,0,パシフィック,0,パシフィック,1,44,3p,,,,,
20260414174031_0100_agari_262,20260414174031_0100,20260414174031,一般卓,1776156453,1,ユウイチ,3,koda08,0,26,7m,20260414174031_0100_045,45,11.7,synthetic_tile,
20260414174031_0200_agari_332,20260414174031_0200,20260414174031,一般卓,1776156583,2,HUTO,3,koda08,0,57,6p,20260414174031_0200_030,30,18.3,synthetic_tile,
20260414180944_0000_agari_116,20260414180944_0000,20260414180944,上級卓,1776157936,2,NoName,2,NoName,1,17,5m,,,,,
20260414180944_0100_agari_287,20260414180944_0100,20260414180944,上級卓,1776158137,3,レオプ－,3,レオプ－,1,84,4s,,,,,
20260414180944_0200_agari_428,20260414180944_0200,20260414180944,上級卓,1776158321,3,レオプ－,2,NoName,0,130,6z,20260414180944_0200_048,48,2.0,synthetic_tile,
20260414182620_0401_agari_371,20260414182620_0401,20260414182620,上級卓,1776160055,3,monohon,3,monohon,1,20,6m,,,,,
20260414182620_0501_agari_130,20260414182620_0501,20260414182620,上級卓,1776160432,3,monohon,0,パシフィック,0,5,2m,20260414182620_0501_055,55,28.2,self_pre_discard_hand,
20260414185553_0000_agari_016,20260414185553_0000,20260414185553,一般卓,1776160688,1,ここ姫,1,ここ姫,1,52,r5p,,,,,
20260414185553_0100_agari_046,20260414185553_0100,20260414185553,一般卓,1776160863,3,チーズとクルミ,0,パシフィック,0,92,6s,20260414185553_0100_043,43,3.0,self_pre_discard_hand,
20260414185553_0200_agari_035,20260414185553_0200,20260414185553,一般卓,1776161143,2,NoName,0,パシフィック,0,61,7p,20260414185553_0200_064,64,8.8,self_pre_discard_hand,
20260414190818_0000_agari_091,20260414190818_0000,20260414190818,一般卓,1776161462,3,isamu713,1,ゆみん,0,45,3p,20260414190818_0000_041,41,26.0,synthetic_tile,
20260414214015_0000_agari_209,20260414214015_0000,20260414214015,上級卓,1776170654,0,パシフィック,2,WKBXW,0,55,5p,20260414214015_0000_069,69,41.2,synthetic_tile,
20260414214015_0100_agari_332,20260414214015_0100,20260414214015,上級卓,1776170828,1,優良会員・・・２,1,優良会員・・・２,1,87,4s,,,,,
20260414214015_0200_agari_465,20260414214015_0200,20260414214015,上級卓,1776171068,2,WKBXW,2,WKBXW,1,13,4m,,,,,
20260414214015_0300_agari_599,20260414214015_0300,20260414214015,上級卓,1776171227,0,パシフィック,0,パシフィック,1,92,6s,,,,,
20260414214015_0301_agari_663,20260414214015_0301,20260414214015,上級卓,1776171303,1,優良会員・・・２,1,優良会員・・・２,1,106,9s,,,,,
20260414214015_0501_agari_934,20260414214015_0501,20260414214015,上級卓,1776171649,3,NoName,1,優良会員・・・２,0,39,1p,20260414214015_0501_028,28,11.1,synthetic_tile,
20260414214015_0600_agari_1023,20260414214015_0600,20260414214015,上級卓,1776171761,2,WKBXW,2,WKBXW,1,36,1p,,,,,
20260414214015_0700_agari_1164,20260414214015_0700,20260414214015,上級卓,1776171940,1,優良会員・・・２,3,NoName,0,8,3m,20260414214015_0700_047,47,6.0,synthetic_tile,
20260414234704_0000_agari_187,20260414234704_0000,20260414234704,特上卓,1776178229,3,スーチーホイハン,3,スーチーホイハン,1,8,3m,,,,,
20260414234704_0100_agari_327,20260414234704_0100,20260414234704,特上卓,1776178412,2,ableeee,3,スーチーホイハン,0,130,6z,20260414234704_0100_049,49,2.0,synthetic_tile,
20260414234704_0200_agari_467,20260414234704_0200,20260414234704,特上卓,1776178600,2,ableeee,2,ableeee,1,4,2m,,,,,
