player_name,user_memo,analysis_memo,source_url
結城めぐみ,,,
水ラーメン,,,
ケンメイ3534,,,
クルンテープ,,,
minimomo,,,
Moritaxi,,,
とても悲しい,,,
hiro0905,,,
KrlJiKay,,,
akio,,,
ゆーだんだん,,,
amarcome,,,
D.G.,,,
kyonta,,,
ひらもと,,,
かっちゃん,,,
shin5u2,,,
たけのうち,,,
ネパールカレー,,,
ひょうもんたこら,,,
sabakan,,,
Tovenaar,,,
crimson,,,
ぱぱん2,,,
ht-pt,,,
喉頭形成術Ⅴ型,,,
小田時人,,,
わはは,,,
ジャーナリスト魂,,,
M＆I,,,
いちちち,,,
アンディだよ。,,,
Millio,,,
Ds.,,,
yhm,,,
matsu_r,,,
あゆひな68,,,
霜一八,,,
ABCDC,,,
unryu,,,
ひろぼうA1,,,
ryu1110,,,
深海,,,
Toshie,,,
きんぎょすくい,,,
そのまま,,,
小助,,,
変身忍者,,,
ミセスｋ,,,
ABC1234,,,
ユウイチ,,,
HUTO,,,
koda08,,,
hfhgudiw,,,
レオプ－,,,
itsulove,,,
monohon,,,
ここ姫,,,
チーズとクルミ,,,
ゆみん,,,
じぇいそんおずま,,,
isamu713,,,
優良会員・・・２,,,
WKBXW,,,
あさみ丼,,,
ableeee,,,
スーチーホイハン,,,
わああああああい,,,
CSU日麻小高手,,,
Bomzhong,,,
桃李言わざれども,,,
綿雪,,,
Chairman,,,
緑茶。,,,
YZFTZ,,,
暴力ペンギン,,,
Heihei05,,,
球1234,,,
MIRA,,,
yoshipin,,,
kuroo,,,
ROKU,,,
狐千歳,,,
MrIndigo,6ブロッカー寄り。早切り両面3つの両面固定とか半荘中に5回の両面固定で多すぎ。,,
阿夫利,,,
Boyan,,,
sxc258,,,
プロゴルファー8,,,
モリヒロナラ,,,
サチール,,,
Kanayama,,,
こうちゃんnn,,,
DrKanoto,,,
時を駆ける爺,,,
soer,,,
Coffee,,,
markino!,,,
ぴかーる,2切れ間8曲げてた子で,,
s7055,,,
ハルカナイチゴ,,,
140cut,,,
モメンタム,,,
olsn,,,
Drうっちー,,,
イチボ,,,
175S1,,,
フジヤンFT,,,
福瑞,,,
1Mercury,,,
ぼくはガリレオ,,,
waffle07,,,
D5471,,,
変態紳士＠,五段三段目クソダマ,,
ピータン01,,,
茶髪,,,
穴澤妙哉,,,
オール鳩ヶ谷,,,
Alessia,,,
ペンタ,,,https://tenhou.net/0/?log=2026052023gm-00a9-0000-9917503f&tw=1
kokounos,,,
梅さん129,,,
ふぁび2,,,
正氣十足,,,
oliver,特上8段。鳴き無し押しがちでダマとかある。,,
純粋居飛車党,くそダマ満貫,,
たこるん,,,
おうもう,,,
しんせんじにく,,,
いいけん,,,
lsajie,,,
tampopo3,"ラス目くっそダマ。多分他もダマ気味になってる
いつでもクソダマ多い四段
役あり高い時ダマかも！リーチはドラや打点不満かな
ドラシャンポン好きで放銃嫌いっぽい",,
緑の猿人,,,
ぱむぱむ,,,
洪湖,,,
むらしゅー,,,
alice7,,,
Kanako_,,,
やんわり,,,
怯怯,,,
FridaW89,,,
mlicca,,,
怪我の功名,,,
かず坊,,,
掉段皮人,,,
teriri,,,
かなかなカナ？,,,
k2xx,,,
alpha@de,,,
'Chalo',謎モギリー両面、67で789三色手替わり見てた？,,
天江衣@門前打点,,,
厚岸,,,
ponponsn,,,
鳳凰双花紅棍,,,
かネ,,,
sjnmp001,通信遅延マン。ラグみたいなのこの人の捨て牌で起きまくったりする,,
今、急所が埋まる,,,
ざきゆう,,,
田中TNKチリコ,,,
鳥澄珠烏,,,
hayajin6,,,
なかやまくんに君,,,
岬の珊瑚,,,
example,ラグ糞長め？→ラグ長めだとここのラグっぽい？,,
しろてぃー,,,
女騎士の意地,,,
めーーぷる,,,
おっお,ぬるい。くそダマっぽい,,
ルイコスタ,染にも先切り押しできる四段,,
こむぎです。,,,
ヤギっぽいジジイ,,,
さきたま林檎,,,
ライムちゃん,,,
縁浩,,,
シエロクリスタ,,,
suzulove,四段なのに打点手組上手いかも,,
JOJO1985,,,
チチヤス,,,
ぼうちゃん,"ドラションパイオタ風うっかり押し？まあ四段はうっかりよくある
ラフ押し過ぎ。単騎聴牌降りれない
やっぱり結構押しすぎ
和了に向かい過ぎ",,
konmo,きもブクブク？　くそダマ,,
我是高人,,,
shunmoko,,,
Run2,,,
ますださん,,,
地獄西単騎,,,
ふうちゃんパパ,,,
しみしみ,,,
おおはやり,,,
gobougbu,ダブ東3p待ちで押しすぎ、シャンテンから押してる。,,
もってけ泥棒,,,
おりどん,,,
Lorraine,,,
ろぱちょ,単品赤々ダマ。→リーチの愚形率や低打点率が上がる,,
okita,ぬるめ、赤切り1-4とかに一発で,,
maochong,,,
めろんたろん,,,
まるひろ,,,
複雑なワキ毛,タメロン返し、変なダマ一盃口ペンチャン,,https://tenhou.net/0/?log=2026051502gm-00a9-0000-80441f06&tw=0
コンビーフ三郎,,,
黒トリガー,,,
明々星,,,
Maniac,くそダマ。平和ドラ1も,,
rire,,,
9-bay,,,
大理石,,,
アルビノ1121,,,
Mild7,"六段なのに愚形くそダマ間5s。トップ目はトン愚形ダマかも？
トップ目はトン3でも",,
wxlsz,,,
yamatter,,,
ドロテア,,,
志云,,,
太陽海,,,
iron12,ぬるいかな。筋のペンチャンドラ打ち,,
アニカとぼくら,ぬるい。間違った鳴き読みで押しすぎかな？,,
大森人,"くそ愚形三色手替わり待ち。六段なのに
他両面でもくそダマ",,
りゅうパパ,,,
ブチギレリーチ,,,
MiNeO,,,
差し上げます,,,
沼野智樹裕樹直樹,,,
まるーん,,,
51,,,
鈴木だろう,,,
カミナリ,,,
zanshin,,,
mitsurou,,,
Poco,,,
ワザチョン,,,
Doraemon,,,
khanhdz,,,
ハナヒバナ,,,
にょーん,,,
のんびり北から,,,
OVPEリーダー,,,
BIGY,,,
俺麻雀,,,
15cake,,,
若竹_白荷,,,
Apollo6,,,
WIN神,,,
Hellcat,,,
おがわくん,,,
ふろんがーぜっと,,,
かねだ,,,
yurimog,,,
JunKo,,,
鏡の笑顔,,,
funa_,,,
あたらしいおさけ,,,
You-ta,,,
長山犬樹,,,
カピタン,,,
kai.t,,,
pandaaaz,,,
逢坂小溪,,,
ぽんこちゃん。,,,
モイヒャン,,,
2008-RF,,,
ばしゃうま,,,
ざばす,四段くそりー多いかも,,
Pom319,,,
踊らないポカリ,,,
ロヒモトスミ,,,
在宅雀士,,,
QuadCore,,,
お前も舞うか,,,
クリスチャンZ,,,
daijiro,,,
司波深雪,,,
Wingding,,,
Sxx0028,,,
猫ウルフ,,,
カニエ東,,,
ricardo,,,
比嘉秀仁,,,
墨,,,
すせそ,,,
れいじ28425,,,
ミヤシー,,,
ちらちら,,,
メダ活ガチ勢です,,,
AccesS,,,
涅槃ちゃん,,,https://tenhou.net/0/?log=2026052023gm-00a9-0000-9cbf6bc4&tw=3
MASA0226,,,
dfdr,,,
アンメモ,,,
てぃむのすけ,,,
PlayHard,,,
Unbobo,,,
Lilguaro,,,
Abelox,ちょい押しすぎかなt高め2000点で中トイツで降りられるのに,,
てぃーおも,,,
くれーぷちゃん,,,
臥竜,,,
氷乃ハコ@VT,,,
Leontes,,,
ピッチー,,,
okabeshi,,,
ルーリー0208,,,
a20513,,,
JIMMY,,,
mendotti,,,
タコ中のタコ,くそダマ8000両面。仕掛け入ってたからかも。四段,,
なべかつ,五段クソダマ5200愚形,,
奥寺,,,
tacolog,ドラ跨ぎくそ5800ダマ。六段なのにクソダマ,,
メリオ94,,,
ten-ten,,,
IWA3,,,
ゆったり,四段クソダマ,,
とらもんち,,,
namu0820,,,
カルペディエム,,,
これがふさふさ,,,
SIBATA,,,
こみてん,,,
幸せのサチコさん,南2ラス回避のための3着で2000局消化役牌鳴き両面,,
ビビリヘタレ引弱,,,
JPGR,字牌単騎とか字牌待ち好きかも,,
Noris,,,
Nanoah,,,
戀病熱,"五段ぬるい。ダントツトップ目でドラ打ち押し。かなり攻め型かな、押しすぎの
ダマケアも甘い。三段目親手出し跨ぎ筋でも",,
みそ,役無しクソダマ,,
助清,"七段しっかり押し気味
リーチ宣言してから高め三色ある方を少し時間かけた4連からの切りがあった",,
HACO,両面くっそダマ,,
のだめヽ,,,
冬實yuki,,,
ぬまお1,,,
つつつーつつっ,,,
和泉千晶*,,,
Riluto,,,
うぃきるそん,,,
kuromate,,,
キャベツ食い,,,
広がる堂岐,,,
おむりーち,五段クソダマ,,
いちぽむ,四段。19ぬるいかも。外側もぬるめ,,
北区田端,,,
ろんぐすとれんじ,,,
cjx7953,,,
田中摩美々,,,
怠惰の極,,,
ポーちゃん,,,
ponion,,,
にゃしの弟子,五段、ぬるい。門前だった,,
YAYAYA49,四段追っかけ変な単騎。放銃は嫌いそう下手かな。降りるかのポラライズを選べない中途半端損,,
kx,,,
Sachi2,五段クソダマ。トップ争いにかなり損→牽制でダマになる。おまけにぬるめ,,
サラダチキン,,,
スライムの冠,,,
99パー,,,
安全第一即リーチ,,,
K15,,,
夜叉,,,
これぞ麻雀,,,
tikura,,,
windyxx,,,
七水,,,
azuuuu,小三元単騎ぬるいしクソダマ五段,,
ミゲール改,五段ぬるい、というか二軒寄りに押しすぎ,,
かちゃくちゃねぇ,早タイム7m先切りツモ切りの6-9mあった。22388sが入り目っぽい,,
◯所恐怖症,,,
Luc1fer,先切りマン？,,
anyadra,六段親リー急ぎがちペン7m、親カン早すぎビビらせ,,
三元牌の切り順,,,
くらえす,,,
シコシコJP,,,
=雷帝ゼオン=,六段リーチ後めちゃくちゃラグらせる,,
ばろん２９,,,
ボッジ,,,
sakuwo②,,,
kitaha,,,
眞田槐,,,
turtle.,,,
Sahara87,ラス目くっそダマ、だから四段,,
Esure,,,
煌めく春,,,
ぱちぱちばやち,,,
Chacha。,"四段鳴きの押してるところにぬるい
子タンピン赤ドラクソダマ",,
raizou,"五段大明槓張ってなかった。牽制強いと思ってる？
1000点親に2枚押し。
鳴きレンジ広くあまり降りれないのかも！",,
ぐてぃ,,,
初心忘れず,,,
ひなのりく,,,
mabui,,,
でぃあすてぃま,,,
米米男,"タンヤオ愚形クソダマ五段
トップ目両面クソダマ",,
採花賊,,,
vこもv,,,
落合さん,五段。1p暗槓1-4pという変な手牌あったが、寝ぼけ？,,
甜菜麻将娜可,トップ目押しすぎ五段,,
TK社長,,,
夕凪永遠,,,
壁牌,,,
ファーストサマー,,,
【黒曜石】,,,https://tenhou.net/0/?log=2026051518gm-00a9-0000-af4f517e&tw=0
NiNth,,,
黒羽織,,,
プラメモ,,,
おじさん応援団,,,
nigaiki,,,
Sora888,,,
ルテイン,2巡目河薄すぎるリーチは45679間8mだった。早ければ曲げる四段,,
げんぶ,六段怖め仕掛けに5800両面ダマクソダマ,,
ちょっと考えます,一発でも押しすぎマン五段,,
モヒートかげやん,,,
77は92,,,
se@weed,,,
しろこ,先切り中筋ドラがらみ固定だった,,
せんとら2024,,,
借分登天,,,
桶聖,六段第一打で引っ掛けマン！5p切り4-7p黒,,
文化部アニキ,,,
ジークフリード,,,
納豆卵かけご飯,,,
OKC.,,,
北岡くん,,,
ねぎとろです。,,,
gyunxan,四段クソダマ,,
poorR,,,
初音ミク重音テト,,,
Hoooot,,,
恋月夜,,,
"[X,P]=i","トップ目クソダマ四段
結構鳴く",,
BENZENY,,,
白い獅子,,,
モスグリーン@秋,,,
嵐っさあ,,,
Sonata,五段先切りマンかも。手出し三回入った単純両面,,
ヤジロベー,六段クソダマ。子のクソダマもあれば、親満貫両面は結構ダマかも、実際に観測してる,,
ももあおいか,,,
雀男あをによし,七段　打点か待ちが良いリーチ多いよね,,
SONGWEN,"牌効率怪しい？四段
南３トップ目ぬるいハイテイ
",,
守りができない,,,
スディポール,,,
でんでんき,親リーにペンチャン押しすぎ降りれない四段,,
ちゅうげ,五段南1ビハインドなのにリーのみで200点まくり三着リーチ,,
えぎおう,,,
sample33,,,
生理周期スコアラ,,,
二四田,,,
イエッサン,四段クソダマ,,
AZ丼,"四段3p5mと切り出しドラ1ペンチャン。良形手組に難ありなので愚形率増える
",,
かもめメトロ,,,
ほそだるま１１１,"五段ダブ東だけでクソダマ
リーチ入っててもクソダマプッシュ寄りになる。",,
un1queue,六段。ドラ切り早いなー,,
namake05,,,
banpapa,,,
ソピテル,,,
重ねた脂肪加速,,,
MartenTT,,,
神仙酵素,,,
ちぃうし,,,
c.c-v.v,六段リーチケアで仕掛けにぬるめ,,
aki-na22,,,
144514,,,
万事屋有ちゃん,,,
トガヒミコ,,,
Tak-e,,,
玉米大王,,,
弥海砂,,,
追憶の庭,,,
こーへい。,,,
sebukich,四段クソダマ,,
TacoYaki,,,
アマゾン川,,,
有栖槙,,,
ちゃかちゃか,,,
これが答えだ,,,
こころのせんせい,,,
卓上のチワワ,,,
kurinobu,,,
ミスターナイス,五段クソダマ,,
xbking,,,
旭日天尊,,,
兔子,,,
つかぞう３,,,
shuboss,四段クソダマ,,
暴走牌ver2,,,
しまおーー,,,
におさとる,,,
鈴木一浪,四段中筋単騎あった,,
是政の夕陽,"七段不満取りダマ→リーチ良形率高め！
クソダマ多いので、リーチ強めかも",,
fog1ess,"無駄に役牌絞って放銃避けそう
つまり下家の時に牽制効く",,
にがトマトマト,,,
鉄人サダ,,,
上がり3ハロン,,,
桐満雀路,,,
muri,,,
ぽんた丸！,七段ドラポンに最終盤間4p勇敢リーチ,,
STF,"六段。打牌全部遅い
ラグも長いので相対長さで絞れるかも",,
likeaxe,,,
slime81,,,
あまいゆびさき,,,
JunkDog,,,
麻雀脳ゼロ,,,
Ratel,,,
tomokich,,,
ヘロヘロ,四段5200愚形ダマ,,
タケ1115,,,
へるしぃ,,,
ピースサマー,,,
－口－,トン発2飜積極鳴き五段,,
takion29,,,
バシ,,,
ダマテンアンチ君,,,
Koba9,,,
宗R,,,
mm2020,,,
ポージー,,,
tlkklt,,,
utsu5,,,
Seic,,,
あいぎすれ,,,
Restist,五段愚形リーチ発声打牌早かった,,
クリーク！,,,
らーめんデブ,,,
嶺上_天晴,六段。リーチケアで現物ぬるくなる,,
びごップ,,,
うけながしません,,,
sato51,,,
手なりタイガーφ,"六段トップ目南2親番平和のみダマ
7700両面ダマ",,
IceCocoa,,,
高曼.姆魯帝,五段クソダマ平和のみ。北のみ。一半荘に２回観測,,
Acmecrea,,,
post12,,,
daibon,,,
大正ロマソ,,,
あつやん。,ツモ切りリーチは,,
ジャパンカップ,ツモ切り引っ掛けリーチ！五段,,
hoija,両面満貫はダマ四段　クソダマ,,
おおてつ,2445を42切りマン六段→七段,,
-399pt,,,
（（仮））,,,
開点,,,
母いすゞ,四段クソダマ。結構なクソダマ,,
遠野なぎこ,,,
期待値くん,,,
まるぴょ,,,https://tenhou.net/0/?log=2026051715gm-00a9-0000-92e1941f&tw=0
SilenT,,,
本緑,,,
kino98,5飜両面ダマ,,
harddays,"リーチタンヤオ27シャンポン一巡後ツモ切りリーチ
次ペン3ツモ切りリーチ
待ち悪い挙動",,
t-jdmkbn,単品赤ドラ子ダマ。少し連帯志向,,
to22,,,
ebanc,,,
オードウィン,"即リーマンかも？六段
待ち悪くても曲げてるかも、字牌とかで",,
四目,,,
そらいぬ,四段。くっつきシャンテンで3~7切り安牌残しオーラスで！,,
ごはん太,,,
まぁがりん,,,
ゆで野菜01,結構迷ってポン対々和,,
at812626,四段リーチにもぬるめ,,
湘南桜もち,,,
玄紀,,,
邪気Power,五段クソダマ,,
Danya,四段クソダマ,,
アニサキスけすけ,,,
4636,五段多分ラス目南1でも押しすぎ,,
なまくら武士,,,
BBです。,五段トップ目ダマ,,
ヘリウム13,,,
かおす,,,
かんごし,五段ラグも打牌も遅いかな,,
水野,,,
ゴゴグレフル,,,
アラサーだよ!!,,,
センリツTV,,,
zhonghai,,,
Ryan158,,,
流浪剣士,,,
猫の木,,,
GGGGZZZZ,,,
ひぐちっく,,,
1人セゾン,五段見合わないリーのみ間4,,
128gb,鳴いて押しすぎ五段,,
転生沢崎,,,
ティーダ,,,
哈哈哈哈哈哈里斯,,,
かっさいひろか,,,
imoyama,,,
AKAMOTI,,,
n675,,,
Didi,,,
フレーゲデパルト,"三面の時、リーチも宣言牌も早かった五段
両面よりドラカンチャン？",,
Crespo,五段謎ツモ切りリーチは愚形だった,,
kunim,第一打字牌ねつ式六段,,
DeL,,,
tpk2,,,
hazetaro,,,
白身魚フライ,,,
masahiko,,,
μ岩瀬.,,,
ゆるねる,,,
kirsuke,四段早いリーチは2回とも良形だった,,
ハルキ,,,
青CHAN,四段ぬるい,,
３人目のニック,四段113からの間2あった,,
運ゲーだ気にすな,,,
らみとん,,,
37悠一,,,
ウォルロット,,,
ウル一ジ,,,
kino25,,,
ゑ,,,
スクナヒコナ,,,
ゴッドバード,,,
弦巻ココロ,,,
ぷんまる,,,
lazy0417,,,
Arthas,"五段かなり鳴くイメージ
打牌早い傾向",,
にしかた,,,
赤坂テンパイ,,,
ベイの里,,,
勝ち確リーチ,,,
xixiang,,,
魯灰灰,,,
18ru,,,
かっぱ００８,"六段親で、リーチ入っててクソダマ両面×2
→先制リーチ有効",,
いいんちょさん,,,
某茄子15,五段攻め型ぬるめかな,,
山本カンスケ,,,
TEN931,,,
丸,,,
伊達もも,,,
園田流牌手,,,
ダ・カーポ,,,
ぽむ太郎,,,
ぷる焼き,,,
池ちゃん1959,,,
CHAOS,,,
RinChan,,,
リーチ野郎,,,
nliya,ビハインド東4南1でも結構鳴く。五段,,
すーやん1212,四段タンピン赤ドラダマ,,
ぶちぶちた,,,
どらっか～,,,
ヴァうたろ,,,
タティーノ,五段三色見た？両面固定後ターツ落としリーチ！親番,,
FIF50,"四段恐れクソダマ
",,
太平年,,,
Y5asas,"四段手詰まり端っこぬるし
外側ドラとかもぬるめ
",,
守村桜弥,,,
福岡的拉電,,,
黒桐,,,
みかんはら,,,
ヒトキン,,,
ほのひと,四段ぬるすぎ？,,
オルターエゴ,,,
グリコシュウ,,,
Suzu,,,
マルワンワン,,,
おろちぽっぽ,,,
まいびょん,染居ても染色間4ドラ1リーチ。染め色の赤持ってたからかも五段,,
ひつこいんだ,"六段なんか変な待ち傾向が多いかも回ってるのかな
勝手に期待値損してるから基本気にしない寄り
ブロックである程度絞れて、先切りには少し注意くらい",,
いじちせいか,,,
メロメ,,,
天利愛莉,,,
gretto55,,,
水瓶座,,,
三五六八,,,
杣径,,,
かねーき,五段早い巡目間7単独でクソダマ,,
博覧強記,,,
ジュンタカ,,,
rizzete,,,
metis123,,,
つきかげのやいば,,,
ナポp,,,
岩上会,,,
エセ稲葉,,,
たぬたぬ,,,
LINGERIE,,,
DOTAMA,,,
辺さん,,,
1m1p1s,,,
mercy,,,
88番,四段二段目安牌字牌持ち両面固定,,
soldier6,,,
#kai,,,
ミナミ☆,四段ノベタンクソダマ,,
余計,,,
A-Eye1.0,,,
ビターキャラメル,"2着でラス分断のために細かくあがるタイプ六段
トップ目ではありがたい
トップ貪欲ではないかも。和了価値かなり見る鳴きタイプ",,
igeeeeee,,,
kodoOji,,,
シスキン,五段一盃口カンチャンクソダマ。リーチ入ってた,,
ヒナマコ,,,
AQQds,,,
KKKT,,,
いっくんK,五段染ケア甘すぎかな。三副露でも,,
ゆあです,,,
kizmetal,,,
泉志帆,,,
LJ657,,,
ベたなま,,,
コペルニックス,,,
おしりさうるす,,,
しょうゆ〆,,,
しゅうー。改,,,
犬飼こむぎ,,,
ROUTE*66,"四段先制でも平和のみはダマ！
他3900クソ玉",,
晨昏對峙,七段鳴いて押しすぎ,,
エレベータライン,四段トップ目クソダマ,,
りゅりゅし,,,
k_rod25,,,
しんな,,,
HEAD-Ⅱ,五段鳴きにドラ先切りマン,,
ベンゼマさん,,,
2階のこども部屋,,,
諾門,,,
東のみでんな,,,
@GANE,四段親にも押しすぎラス目南1,,
バイブ天狗,,,
正斯特確確,四段攻め型ぬるめ,,
_たかはつ,,,
豆大福^^,,,
鬼人正邪,,,
立即七対表表裏裏,,,
Sense,,,
Kotarooo,,,
FL,,,
seastory,,,
wakasako,六段ポンされてる牌とはいえ455を5シャンポン待ちにしてた変わった打ち手,,
雀竹,,,
Kyron1,,,
ちゃんひきぞう,,,https://tenhou.net/0/?log=2026051319gm-00a9-0000-b5889049&tw=0
TAROBOO,,,
ププリン,,,
偽預言者,"五段タメロン
まあまあトップ目4万点超えはダマテン多用",,
ききっぺ,,,
たかし1121,,,
サドちゃん,,,
たかしんのすけ,,,
DIBT,,,
陰キャラ@配信,,,
ワンクライム,,,
ナリタブライアン,,,
まっちゃんTV,,,
ミストラル★,,,
taruho,,,
ぺー太,,,
石関絢子,,,
H1karu,,,
Landary,,,
レイホウ,,,
セルマネロ,,,
h123,四段押しすぎ,,
wes14,,,
musa10,,,
セルポ,五段親両面7700クソダマ東発！ドラトイツ亜両面待ち,,
酸麓煮,,,
つちもうす,,,
cae,"五段二軒に鳴き押し19牌ぬるい
一発消しマン？",,
KY0SAYA,,,
yo-idonn,,,
マサル0101,,,
サムライ森山,,,
Ponzyrx,,,
夏夏至,,,
河底ペンギン,,,
竹信丸,五段ラス目だと東4安手でかなり押しすぎ,,
しんじろう,,,
麻雀ごめんね。,,,
Benedito,,,
ktn,,,
HISHI,,,
荒野の牛泥棒,,,
立花明明子,,,
のすのすの,,,
爆裂口リータ,,,
『ヨスガノソラ』,,,
棚科,,,
GHOST,八段東4まだ段ラスでない親番暗刻ヘッドレス好形イーシャンテンからはリーのみでも鬼押す！！押しすぎ,,
ちよすけ,,,
暗黒疾風龍王丸,,,https://tenhou.net/0/?log=2026052115gm-00a9-0000-0ca21efc&tw=3
Tabasco,,,
淳子です,,,
たかな,,,
ヒカル,,,
kiey,,,https://tenhou.net/0/?log=2026051522gm-00a9-0000-18ca4473&tw=1
一个二毫半,,,
うなぎ麺,,,
十ハクア十,,,https://tenhou.net/0/?log=2026051716gm-00a9-0000-2d09788d&tw=1
むし歯,"九段7p5s7巡目曲げ
早いリーチリーのみペン7もあった。即リー寄りで愚形率高め！
の癖にチートイ1pダマ南1微差3着目",,https://tenhou.net/0/?log=2026051501gm-00a9-0000-5d2de212&tw=0
Che,,,
Tatsuno7,,,
かなきー,,,
夏蔭,,,
ピンサロ店員,,,
豊臣軍陸,,,
Jow-Z,,,
ロロの環,七段結構押すかも？よく鳴く,,https://tenhou.net/0/?log=2026051923gm-00a9-0000-a8ee2dd6&tw=2
はたゆう,,,
河童のワカマツ,,,
加治木由美,,,
